skill	ref_md_count	long_ref_count_gt_200_lines	ref_count_status	single_case_risk	skill_md_lines	heavy_skill_entry_risk
academic-presentation-crafter	3	0	PASS	OK	73	OK
academic-slide-refiner	5	0	PASS	OK	23	OK
backside-benefit-attribution-evaluator	2	0	PASS	OK	60	OK
backside-routing-realization-specialist	2	0	PASS	OK	84	OK
eda-artifact-hygiene-maintainer	7	0	PASS	OK	81	OK
bscost-net	6	0	PASS	OK	31	OK
bscost-theory-opt	4	0	PASS	OK	37	OK
bspdn-pdn-sufficiency-evaluator	2	0	PASS	OK	56	OK
bspdn-physical-contract-auditor	2	0	PASS	OK	57	OK
bspdn-goal-driver	5	0	PASS	OK	36	OK
delay-model-gate-evaluator	1	0	PASS	OK	39	OK
eda-context-accessor	4	0	PASS	OK	62	OK
eda-autoidea-bridge	0	0	PASS	OK	36	OK
eda-experiment-phenomenology-analyst	2	0	PASS	OK	80	OK
eda-script-pattern-curator	2	0	PASS	OK	65	OK
eda-hypothesis-experiment-designer	3	0	PASS	OK	35	OK
eda-idea-debate-lab	1	0	PASS	OK	40	OK
eda-infra-maintainer	8	0	PASS	OK	85	OK
control-knowledge-explorer	1	0	PASS	OK	44	OK
eda-knowledge-gate-maintainer	5	0	PASS	OK	72	OK
workflow-scoped-execution	4	0	PASS	OK	78	OK
eda-method-implementer	1	0	PASS	OK	51	OK
eda-paper-fetch	2	0	PASS	OK	51	OK
eda-pdf-local-summary	2	0	PASS	OK	60	OK
control-preflight-reflect	4	0	PASS	OK	30	OK
workflow-research-chain	3	0	PASS	OK	50	OK
control-postrun-retro	2	0	PASS	OK	75	OK
conda-project-environment-manager	2	0	PASS	OK	61	OK
eda-stage-checkpoint-golden	1	0	PASS	OK	50	OK
eda-system-packager	4	0	PASS	OK	69	OK
control-theory-veto	3	0	PASS	OK	58	OK
git-version-control	4	0	PASS	OK	69	OK
gt3-backside-route-policy	1	0	PASS	OK	41	OK
rtl-design-engineer	3	0	PASS	OK	48	OK
workflow-router	5	0	PASS	OK	71	OK
gt3-backside-net-selector	2	0	PASS	OK	58	OK
